time,cmd_raw,pos_ref,vel_ref,acc_ref,acc_unsat,acc_sat_flag,axis_raw,axis_mf_noff,axis_mf_vff,speed_cmd_raw,speed_cmd_mf_noff,speed_cmd_mf_vff
0.0395,6.28318530717959,1.54070724266954,152.184667814224,4160.828150996,4160.82815099585,0,3.71138206437652,0.690708214171041,1.18873399467711,300,189.333054787473,233.006404982771
0.0396,6.28318530717959,1.55596582514095,152.58582471408,4011.56899855323,4011.56899855328,0,3.73886478857181,0.70176132122621,1.20437749961308,300,190.280086786001,233.344322166548
0.0397,6.28318530717959,1.57126305093804,152.972257970853,3864.33256773273,3864.33256773284,0,3.76637897871466,0.712915281214744,1.22011752899317,300,191.213417244241,233.654604663405
0.0398,6.28318530717959,1.58659746770239,153.344167643537,3719.09672684325,3719.09672684332,0,3.79392424148073,0.724169982638053,1.23595322965035,300,192.13274770493,233.937315463122
0.0399,6.28318530717959,1.60196764286239,153.701751599957,3575.83956420029,3575.83956420022,0,3.82150018846222,0.735525297528132,1.25188372470558,300,193.037787648935,234.192525015802
0.04,6.28318530717959,1.61737216341624,154.045205538563,3434.53938605364,3434.53938605369,0,3.84910643610644,0.746981081300188,1.26790811396152,300,193.928254482569,234.420311120343
0.0401,6.28318530717959,1.63280963571724,154.374723010016,3295.17471453556,3295.17471453549,0,3.87674260565511,0.758537172616997,1.28402547430027,300,194.803873522768,234.620758812224
0.0402,6.28318530717959,1.6482786852611,154.690495438579,3157.7242856244,3157.72428562452,0,3.90440832308442,0.770193393264821,1.30023486008511,300,195.664377980161,234.793960250651
0.0403,6.28318530717959,1.66377795647543,154.992712143292,3022.16704713089,3022.16704713094,0,3.93210321904587,0.781949548040722,1.31653530356589,300,196.509508940059,234.940014605111
0.0404,6.28318530717959,1.67930611251133,155.281560358962,2888.48215669873,2888.48215669865,0,3.9598269288078,0.793805424651101,1.33292581528808,300,197.3390153414,235.059027941349
0.0405,6.28318530717959,1.69486183503702,155.557225256944,2756.6489798258,2756.64897982585,0,3.9875790921977,0.805760793621293,1.34940538450514,300,198.152653953688,235.15111310684
0.0406,6.28318530717959,1.7104438240336,155.819889965735,2626.64708790396,2626.64708790384,0,4.01535935354523,0.817815408216047,1.365972979594,300,198.950189351945,235.216389615764
0.0407,6.28318530717959,1.72605079759273,156.069735591362,2498.45625627358,2498.45625627346,0,4.04316736162591,0.829969004370729,1.38262754847366,300,199.731393889724,235.254983533545
0.0408,6.28318530717959,1.74168149171649,156.306941237592,2372.05646229938,2372.05646229943,0,4.07100276960559,0.842221300633065,1.39936801902653,300,200.496047670207,235.26702736098
0.0409,6.28318530717959,1.75733466011908,156.531684025938,2247.42788346219,2247.42788346212,0,4.09886523498552,0.854571998115266,1.41619329952239,300,201.243938515421,235.252659917998
0.041,6.28318530717959,1.77300907403063,156.744139115485,2124.55089546665,2124.5508954668,0,4.1267544195482,0.867020780456357,1.43310227904484,300,201.974861933615,235.212026227088
0.0411,6.28318530717959,1.78870352200289,156.944479722522,2003.4060703702,2003.40607037007,0,4.15466998930385,0.87956731379454,1.45009382791999,300,202.688621084815,235.14527739643
0.0412,6.28318530717959,1.80441680971688,157.132877139994,1883.97417472345,1883.97417472342,0,4.18261161443755,0.892211246749426,1.46716679814734,300,203.38502674461,235.052570502774
0.0413,6.28318530717959,1.82014775979256,157.309500756767,1766.23616773384,1766.23616773373,0,4.21057896925708,0.904952210413959,1.48432002383244,300,204.063897266183,234.934068474085
0.0414,6.28318530717959,1.83589521160023,157.474518076711,1650.17319944042,1650.17319944053,0,4.23857173214137,0.917789818355861,1.50155232162144,300,204.725058540634,234.789939972014
0.0415,6.28318530717959,1.85165802107399,157.628094737602,1535.76660890991,1535.76660890992,0,4.2665895854896,0.930723666628435,1.51886249113717,300,205.368343955627,234.620359274207
0.0416,6.28318530717959,1.86743506052698,157.770394529847,1422.99792244501,1422.99792244494,0,4.29463221567098,0.943753333790541,1.53624931541665,300,205.993594352386,234.425506156503
0.0417,6.28318530717959,1.88322521846848,157.901579415028,1311.84885181227,1311.84885181236,0,4.32269931297509,0.956878380935597,1.55371156134985,300,206.600657981086,234.205565775051
0.0418,6.28318530717959,1.89902739942291,158.021809544277,1202.30129248569,1202.30129248559,0,4.3507905715629,0.970098351729409,1.57124798011958,300,207.18939045466,233.960728548373
0.0419,6.28318530717959,1.91484052375056,158.131243276467,1094.33732190382,1094.33732190369,0,4.37890568941837,0.983412772456674,1.58885730764223,300,207.759654701067,233.691190039419
0.042,6.28318530717959,1.93066352747018,158.230037196242,987.939197746357,987.939197746233,0,4.40704436830064,0.996821152075991,1.6065382650094,300,208.311320914047,233.397150837637
0.0421,6.28318530717959,1.94649536208337,158.318346131864,883.089356223934,883.089356224034,0,4.43520631369688,1.01032298228319,1.62428955893002,300,208.8442665024,233.078816441095
0.0422,6.28318530717959,1.96233499440066,158.396323172903,779.770410385368,779.77041038539,0,4.46339123477567,1.02391773758286,1.64210988217307,300,209.358376037822,232.73639713869
