index_1based,controller_index_1based,theta_deg,theta_rad,iq_forward_A,iq_backward_A,iq_cog_A,iq_direction_A,iq_ff_raw_A,iq_ff_A,ff_table_value_A,is_active_point
170,170,338,5.89921287174083,-0.122056730208949,NaN,-0.122056730208949,0,-0.10930998068499,-0.109162502928514,-0.109162502928514,1
171,171,340,5.93411945678072,-0.112735984627446,NaN,-0.112735984627446,0,-0.0999892351034871,-0.0998931571808306,-0.0998931571808306,1
172,172,342,5.96902604182061,-0.103373483471143,NaN,-0.103373483471143,0,-0.0906267339471839,-0.0905021467501412,-0.0905021467501412,1
173,173,344,6.00393262686049,-0.0938679129960991,NaN,-0.0938679129960991,0,-0.0811211634721398,-0.0810010439141072,-0.0810010439141072,1
174,174,346,6.03883921190038,-0.084210370066865,NaN,-0.084210370066865,0,-0.0714636205429057,-0.071401326006851,-0.071401326006851,1
175,175,348,6.07374579694027,-0.0745512160287786,NaN,-0.0745512160287786,0,-0.0618044665048193,-0.0617147750180572,-0.0617147750180572,1
176,176,350,6.10865238198015,-0.0647373950911656,NaN,-0.0647373950911656,0,-0.0519906455672064,-0.0519531623681551,-0.0519531623681551,1
177,177,352,6.14355896702004,-0.0549407285271738,NaN,-0.0549407285271738,0,-0.0421939790032145,-0.0421283249699048,-0.0421283249699048,1
178,178,354,6.17846555205993,-0.0450598497465891,NaN,-0.0450598497465891,0,-0.0323131002226298,-0.0322522984720788,-0.0322522984720788,1
179,179,356,6.21337213709981,-0.0350861830756134,NaN,-0.0350861830756134,0,-0.0223394335516541,-0.0193048194538457,-0.0193048194538457,1
180,180,358,6.2482787221397,-0.0251710835396487,NaN,-0.0251710835396487,0,-0.0124243340156895,-0.00886303621474564,-0.00886303621474564,1
